Library_Name_s, env_biome_s, env_feature_s, lat, lon
P00007_hudsonmiseq, city, subway, 40.73, 73.99
P00007, city, subway, 40.73, 73.99
P00008_hudsonmiseq, city, park, 40.73, 73.99
P00008, city, park, 40.73, 73.99
P00009_hudsonmiseq, city, park, 40.73, 73.99
P00009, city, park, 40.73, 73.99
P00010_hudsonmiseq, city, park, 40.73, 73.99
P00010, city, park, 40.73, 73.99
P00011_hudsonmiseq, city, park, 40.73, 73.99
P00011, city, park, 40.73, 73.99
P00024_hudsonmiseq, city, park, 40.73, 73.99
P00024, city, park, 40.73, 73.99
P00027_hudsonmiseq, city, subway, 40.74, 73.93
P00027, city, subway, 40.74, 73.93
P00030_hudsonmiseq, city, subway, 40.75, 73.91
P00030, city, subway, 40.75, 73.91
P00031_hudsonmiseq, city, subway, 40.69, 73.96
P00031, city, subway, 40.69, 73.96
P00032_hudsonmiseq, city, subway, 40.74, 73.89
P00032, city, subway, 40.74, 73.89
P00033_hudsonmiseq, city, subway, 40.74, 73.88
P00033, city, subway, 40.74, 73.88
P00034_hudsonmiseq, city, subway, 40.73, 73.87
P00034, city, subway, 40.73, 73.87
P00035_hudsonmiseq, city, subway, 40.72, 73.86
P00035, city, subway, 40.72, 73.86
P00041_hudsonmiseq, city, park, 40.69, 73.97
P00041, city, park, 40.69, 73.97
P00036_hudsonmiseq, city, subway, 40.72, 73.84
P00036, city, subway, 40.72, 73.84
P00042_hudsonmiseq, city, park, 40.69, 73.97
P00042, city, park, 40.69, 73.97
P00046_hiseq, city, subway, 40.76, 73.96
P00046_hudsonmiseq, city, subway, 40.76, 73.96
P00046_miseq, city, subway, 40.76, 73.96
P00047_hiseq, city, subway, 40.75, 73.98
P00047_miseq, city, subway, 40.75, 73.98
P00049_hiseq, city, subway, 40.73, 73.98
P00049_hudsonmiseq, city, subway, 40.73, 73.98
P00049_miseq, city, subway, 40.73, 73.98
P00050_hiseq, city, subway, 40.71, 73.95
P00050_hudsonmiseq, city, subway, 40.71, 73.95
P00050_miseq, city, subway, 40.71, 73.95
P00051_hiseq, city, subway, 40.71, 73.95
P00051_hudsonmiseq, city, subway, 40.71, 73.95
P00051_miseq, city, subway, 40.71, 73.95
P00052_hiseq, city, subway, 40.71, 73.95
P00052_hudsonmiseq, city, subway, 40.71, 73.95
P00052_miseq, city, subway, 40.71, 73.95
P00054_hiseq, city, subway, 40.69, 73.91
P00054_hudsonmiseq, city, subway, 40.69, 73.91
P00054_miseq, city, subway, 40.69, 73.91
P00055_hiseq, city, subway, 40.69, 73.92
P00055_hudsonmiseq, city, subway, 40.69, 73.92
P00055_miseq, city, subway, 40.69, 73.92
P00056_hiseq, city, subway, 40.73, 74.00
P00056_hudsonmiseq, city, subway, 40.73, 74.00
P00056_miseq, city, subway, 40.73, 74.00
P00058_hiseq, city, subway, 40.73, 74.00
P00058_hudsonmiseq, city, subway, 40.73, 74.00
P00058_miseq, city, subway, 40.73, 74.00
P00060_hudsonmiseq, city, subway, 40.73, 73.99
P00060, city, subway, 40.73, 73.99
P00061_hiseq, city, subway, 40.73, 73.99
P00061_hudsonmiseq, city, subway, 40.73, 73.99
P00061_miseq, city, subway, 40.73, 73.99
P00062_hudsonmiseq, city, subway, 40.74, 73.98
P00062, city, subway, 40.74, 73.98
P00063_hudsonmiseq, city, subway, 40.65, 73.96
P00063, city, subway, 40.65, 73.96
P00064, city, subway, 40.65, 73.96
P00066, city, subway, 40.64, 73.96
P00067, city, subway, 40.64, 73.96
P00068_hudsonmiseq, city, subway, 40.63, 73.96
P00068, city, subway, 40.63, 73.96
P00069_hudsonmiseq, city, subway, 40.63, 73.96
P00069, city, subway, 40.63, 73.96
P00070, city, subway, 40.63, 73.96
P00072, city, subway, 40.62, 73.96
P00073, city, subway, 40.62, 73.96
P00074_hudsonmiseq, city, subway, 40.62, 73.96
P00074, city, subway, 40.62, 73.96
P00079, city, subway, 40.59, 73.95
P00080_hiseq, city, subway, 40.59, 73.95
P00080_hudsonmiseq, city, subway, 40.59, 73.95
P00080_miseq, city, subway, 40.59, 73.95
P00081_hiseq, city, subway, 40.57, 73.96
P00081_hudsonmiseq, city, subway, 40.57, 73.96
P00081_miseq, city, subway, 40.57, 73.96
P00083_hudsonmiseq, city, subway, 40.57, 73.96
P00083, city, subway, 40.57, 73.96
P00084_hiseq, city, subway, 40.57, 73.98
P00084_hudsonmiseq, city, subway, 40.57, 73.98
P00084_miseq, city, subway, 40.57, 73.98
P00085_hudsonmiseq, city, subway, 40.57, 73.98
P00085, city, subway, 40.57, 73.98
P00086_hudsonmiseq, city, subway, 40.75, 73.97
P00086, city, subway, 40.75, 73.97
P00087_hiseq, city, subway, 40.75, 73.97
P00087_hudsonmiseq, city, subway, 40.75, 73.97
P00087_miseq, city, subway, 40.75, 73.97
P00088_hiseq, city, subway, 40.76, 73.96
P00088_hudsonmiseq, city, subway, 40.76, 73.96
P00088_miseq, city, subway, 40.76, 73.96
P00089, city, subway, 40.75, 73.98
P00090_hiseq, city, subway, 40.75, 73.98
P00090_hudsonmiseq, city, subway, 40.75, 73.98
P00090_miseq, city, subway, 40.75, 73.98
P00091_hiseq, city, subway, 40.76, 73.96
P00091_hudsonmiseq, city, subway, 40.76, 73.96
P00091_miseq, city, subway, 40.76, 73.96
P00092, city, subway, 40.75, 73.98
P00093_hudsonmiseq, city, subway, 40.75, 73.98
P00093, city, subway, 40.75, 73.98
P00094_hiseq, city, subway, 40.76, 73.96
P00094_hudsonmiseq, city, subway, 40.76, 73.96
P00094_miseq, city, subway, 40.76, 73.96
P00095, city, subway, 40.74, 73.94
P00099, city, subway, 40.75, 73.94
P00100_hudsonmiseq, city, subway, 40.74, 73.93
P00100, city, subway, 40.74, 73.93
P00101, city, subway, 40.74, 73.90
P00102, city, subway, 40.74, 73.90
P00103_hudsonmiseq, city, subway, 40.74, 73.90
P00103, city, subway, 40.74, 73.90
P00107, city, subway, 40.74, 73.86
P00108, city, subway, 40.74, 73.86
P00109_hudsonmiseq, city, subway, 40.74, 73.86
P00109, city, subway, 40.74, 73.86
P00111, city, subway, 40.75, 73.84
P00112_hudsonmiseq, city, subway, 40.75, 73.84
P00112, city, subway, 40.75, 73.84
P00113_hudsonmiseq, city, subway, 40.76, 73.83
P00113, city, subway, 40.76, 73.83
P00114, city, subway, 40.75, 73.83
P00115, city, subway, 40.75, 73.83
P00116, city, subway, 40.71, 74.00
P00117_hudsonmiseq, city, subway, 40.71, 74.00
P00117, city, subway, 40.71, 74.00
P00118_hudsonmiseq, city, subway, 40.71, 73.99
P00118, city, subway, 40.71, 73.99
P00120_hudsonmiseq, city, subway, 40.71, 73.98
P00120, city, subway, 40.71, 73.98
P00122, city, subway, 40.70, 73.95
P00124_hudsonmiseq, city, subway, 40.70, 73.94
P00124, city, subway, 40.70, 73.94
P00125_hudsonmiseq, city, subway, 40.69, 73.93
P00125, city, subway, 40.69, 73.93
P00126, city, subway, 40.69, 73.93
P00127_hudsonmiseq, city, subway, 40.69, 73.92
P00127, city, subway, 40.69, 73.92
P00128_hudsonmiseq, city, subway, 40.71, 73.88
P00128, city, subway, 40.71, 73.88
P00129, city, subway, 40.71, 73.88
P00130_hudsonmiseq, city, subway, 40.71, 73.88
P00130, city, subway, 40.71, 73.88
P00131, city, subway, 40.70, 73.89
P00132_hudsonmiseq, city, subway, 40.70, 73.89
P00132, city, subway, 40.70, 73.89
P00133_hudsonmiseq, city, subway, 40.70, 73.90
P00133, city, subway, 40.70, 73.90
P00134_hudsonmiseq, city, subway, 40.69, 73.93
P00134, city, subway, 40.69, 73.93
P00135_hudsonmiseq, city, subway, 40.67, 73.90
P00135, city, subway, 40.67, 73.90
P00139, city, subway, 40.68, 73.92
P00141, city, subway, 40.67, 73.88
P00143_hudsonmiseq, city, subway, 40.68, 73.87
P00143, city, subway, 40.68, 73.87
P00147, city, subway, 40.69, 73.85
P00148_hudsonmiseq, city, subway, 40.69, 73.85
P00148, city, subway, 40.69, 73.85
P00149_hudsonmiseq, city, subway, 40.69, 73.84
P00149, city, subway, 40.69, 73.84
P00150, city, subway, 40.70, 73.80
P00151_hudsonmiseq, city, subway, 40.70, 73.80
P00151, city, subway, 40.70, 73.80
P00152_hudsonmiseq, city, subway, 40.75, 73.94
P00152, city, subway, 40.75, 73.94
P00153_hudsonmiseq, city, subway, 40.74, 73.98
P00153, city, subway, 40.74, 73.98
P00154, city, subway, 40.74, 73.98
P00155_hudsonmiseq, city, subway, 40.75, 73.98
P00155, city, subway, 40.75, 73.98
P00156_hudsonmiseq, city, subway, 40.86, 73.91
P00156, city, subway, 40.86, 73.91
P00157, city, subway, 40.86, 73.91
P00158_hudsonmiseq, city, subway, 40.86, 73.91
P00158, city, subway, 40.86, 73.91
P00159_hudsonmiseq, city, subway, 40.85, 73.93
P00159, city, subway, 40.85, 73.93
P00160_hudsonmiseq, city, subway, 40.85, 73.93
P00160, city, subway, 40.85, 73.93
P00161, city, subway, 40.85, 73.93
P00162, city, subway, 40.84, 73.93
P00163_hudsonmiseq, city, subway, 40.84, 73.93
P00163, city, subway, 40.84, 73.93
P00164, city, subway, 40.84, 73.93
P00165, city, subway, 40.84, 73.94
P00166_hudsonmiseq, city, subway, 40.84, 73.94
P00166, city, subway, 40.84, 73.94
P00167_hudsonmiseq, city, subway, 40.84, 73.94
P00167, city, subway, 40.84, 73.94
P00168, city, subway, 40.82, 73.94
P00169_hudsonmiseq, city, subway, 40.82, 73.94
P00169, city, subway, 40.82, 73.94
P00170_hudsonmiseq, city, subway, 40.82, 73.94
P00170, city, subway, 40.82, 73.94
P00171_hudsonmiseq, city, subway, 40.81, 73.95
P00171, city, subway, 40.81, 73.95
P00172, city, subway, 40.81, 73.95
P00173_hudsonmiseq, city, subway, 40.81, 73.95
P00173, city, subway, 40.81, 73.95
P00174_hudsonmiseq, city, subway, 40.76, 73.95
P00174, city, subway, 40.76, 73.95
P00175, city, subway, 40.73, 74.00
P00176_hudsonmiseq, city, subway, 40.73, 74.00
P00176, city, subway, 40.73, 74.00
P00177_hudsonmiseq, city, subway, 40.74, 73.98
P00177, city, subway, 40.74, 73.98
P00178, city, subway, 40.71, 73.99
P00179_hudsonmiseq, city, subway, 40.71, 73.99
P00179, city, subway, 40.71, 73.99
P00180_hudsonmiseq, city, subway, 40.70, 73.98
P00180, city, subway, 40.70, 73.98
P00181, city, subway, 40.68, 73.97
P00182_hudsonmiseq, city, subway, 40.68, 73.97
P00182, city, subway, 40.68, 73.97
P00183_hudsonmiseq, city, subway, 40.68, 73.97
P00183, city, subway, 40.68, 73.97
P00184_hudsonmiseq, city, subway, 40.65, 74.00
P00184, city, subway, 40.65, 74.00
P00185, city, subway, 40.65, 74.00
P00186_hudsonmiseq, city, subway, 40.64, 73.99
P00186, city, subway, 40.64, 73.99
P00187_hudsonmiseq, city, subway, 40.64, 73.99
P00187, city, subway, 40.64, 73.99
P00188, city, subway, 40.64, 73.99
P00189_hudsonmiseq, city, subway, 40.63, 73.99
P00189, city, subway, 40.63, 73.99
P00190, city, subway, 40.63, 73.99
P00191, city, subway, 40.63, 73.99
P00192, city, subway, 40.61, 73.99
P00193, city, subway, 40.61, 73.99
P00194, city, subway, 40.61, 73.99
P00195, city, subway, 40.61, 74.00
P00196, city, subway, 40.60, 74.00
P00197, city, subway, 40.60, 74.00
P00198, city, subway, 40.60, 74.00
P00199, city, subway, 40.59, 73.98
P00200, city, subway, 40.59, 73.98
P00201, city, subway, 40.60, 73.99
P00202, city, subway, 40.57, 73.98
P00203, city, subway, 40.57, 73.98
P00204, city, subway, 40.57, 73.98
P00205, city, subway, 40.66, 73.98
P00206, city, subway, 40.66, 73.98
P00207, city, subway, 40.66, 73.98
P00208, city, subway, 40.64, 73.97
P00209, city, subway, 40.64, 73.97
P00210, city, subway, 40.66, 73.98
P00211, city, subway, 40.75, 73.98
P00212, city, subway, 40.75, 73.98
P00213, city, subway, 40.76, 73.98
P00214, city, subway, 40.76, 73.98
P00215, city, subway, 40.76, 73.98
P00216, city, subway, 40.78, 73.97
P00217, city, subway, 40.79, 73.97
P00218, city, subway, 40.86, 73.91
P00219, city, subway, 40.88, 73.90
P00220, city, subway, 40.80, 73.95
P00221, city, subway, 40.88, 73.89
P00222, city, subway, 40.87, 73.90
P00223, city, subway, 40.87, 73.91
P00224, city, subway, 40.86, 73.92
P00225, city, subway, 40.86, 73.92
P00226, city, subway, 40.80, 73.96
P00227, city, subway, 40.88, 73.89
P00228, city, subway, 40.88, 73.89
P00229, city, subway, 40.87, 73.90
P00230, city, subway, 40.87, 73.90
P00231, city, subway, 40.86, 73.92
P00232, city, subway, 40.86, 73.92
P00233, city, subway, 40.84, 73.94
P00234, city, subway, 40.84, 73.94
P00235, city, subway, 40.82, 73.95
P00236, city, subway, 40.82, 73.95
P00237, city, subway, 40.80, 73.96
P00238, city, subway, 40.80, 73.96
P00239, city, subway, 40.79, 73.96
P00240, city, subway, 40.79, 73.96
P00241, city, subway, 40.79, 73.97
P00242, city, subway, 40.79, 73.97
P00243, city, subway, 40.77, 73.98
P00244, city, subway, 40.77, 73.98
P00245, city, subway, 40.77, 73.98
P00246, city, subway, 40.77, 73.98
P00247, city, subway, 40.75, 73.99
P00248, city, subway, 40.68, 74.01
P00251, city, ferry, 40.68, 74.01
P00252, city, park, 40.69, 74.00
P00254, city, airport, 49.00, 74.01
P00257, city, subway, 40.68, 74.01
P00259, city, ferry, 40.69, 74.00
P00260, city, subway, 40.75, 73.97
P00261, city, subway, 40.75, 73.97
P00262, city, subway, 40.75, 73.97
P00263, city, subway, 40.75, 73.97
P00264, city, subway, 40.75, 73.97
P00265, city, subway, 40.75, 73.97
P00266, city, subway, 40.75, 73.97
P00267, city, subway, 40.75, 73.97
P00268, city, subway, 40.75, 73.97
P00269, city, subway, 40.75, 73.97
P00270, city, subway, 40.75, 73.97
P00271, city, subway, 40.75, 73.98
P00272, city, subway, 40.75, 73.98
P00273, city, subway, 40.75, 73.98
P00274, city, subway, 40.74, 73.98
P00275, city, subway, 40.74, 73.98
P00276, city, subway, 40.74, 73.98
P00277, city, subway, 40.74, 73.98
P00278, city, subway, 40.74, 73.98
P00279, city, subway, 40.73, 73.99
P00280, city, subway, 40.73, 73.99
P00281, city, subway, 40.73, 73.99
P00282, city, subway, 40.73, 73.99
P00283, city, subway, 40.72, 73.99
P00284, city, subway, 40.72, 73.99
P00285, city, subway, 40.72, 73.99
P00286, city, subway, 40.71, 74.00
P00287, city, subway, 40.71, 74.00
P00288, city, subway, 40.71, 74.00
P00289, city, subway, 40.71, 74.00
P00290, city, subway, 40.71, 74.01
P00291, city, subway, 40.71, 74.01
P00292, city, subway, 40.70, 74.01
P00293, city, subway, 40.70, 74.01
P00294, city, subway, 40.70, 74.01
P00295, city, subway, 40.70, 74.01
P00296, city, subway, 40.71, 74.00
P00297, city, subway, 40.69, 73.99
P00298, city, subway, 40.69, 73.99
P00299, city, subway, 40.69, 73.98
P00300, city, subway, 40.76, 73.98
P00301, city, subway, 40.76, 73.98
P00302, city, subway, 40.76, 73.98
P00303, city, subway, 40.75, 73.98
P00304, city, subway, 40.75, 73.98
P00305, city, subway, 40.75, 73.98
P00306, city, subway, 40.75, 73.99
P00307, city, subway, 40.75, 73.99
P00308, city, subway, 40.75, 73.99
P00309, city, subway, 40.72, 74.00
P00310, city, subway, 40.72, 74.00
P00311, city, subway, 40.72, 74.00
P00312, city, subway, 40.73, 74.00
P00313, city, subway, 40.73, 74.00
P00314, city, subway, 40.73, 74.00
P00315, city, subway, 40.74, 74.00
P00316, city, subway, 40.74, 74.00
P00317, city, subway, 40.74, 74.00
P00318, city, subway, 40.26, 74.77
P00319, city, subway, 40.26, 74.77
P00320, city, subway, 40.80, 73.95
P00321, city, subway, 40.80, 73.95
P00322, city, subway, 40.80, 73.95
P00323, city, subway, 40.79, 73.96
P00324, city, subway, 40.79, 73.96
P00325, city, subway, 40.79, 73.96
P00326, city, subway, 40.78, 73.97
P00327, city, subway, 40.78, 73.97
P00328, city, subway, 40.78, 73.97
P00329, city, subway, 40.71, 74.00
P00330, city, subway, 40.75, 73.98
P00331, city, subway, 40.75, 73.98
P00332, city, subway, 40.74, 73.99
P00333, city, subway, 40.74, 73.99
P00334, city, subway, 40.81, 73.94
P00335, city, subway, 40.73, 74.00
P00336, city, subway, 40.73, 74.00
P00337, city, subway, 40.71, 74.01
P00338, city, subway, 40.72, 74.00
P00339, city, subway, 40.72, 74.00
P00340, city, subway, 40.71, 74.01
P00341, city, subway, 40.71, 74.00
P00342, city, subway, 40.71, 74.00
P00343, city, subway, 40.70, 74.01
P00344, city, subway, 40.70, 74.01
P00345, city, subway, 40.64, 74.07
P00347, city, subway, 40.64, 74.06
P00348, city, subway, 40.62, 74.07
P00349, city, subway, 40.58, 74.10
P00350, city, subway, 40.55, 74.15
P00351, city, subway, 40.53, 74.18
P00352, city, subway, 40.52, 74.20
P00353, city, subway, 40.51, 74.23
P00354, city, subway, 40.52, 40.52
P00355, city, subway, 40.52, 40.52
P00356, city, subway, 40.51, 74.22
P00357, city, subway, 40.52, 74.19
P00358, city, subway, 40.54, 74.16
P00359, city, subway, 40.55, 74.13
P00360, city, subway, 40.58, 74.09
P00361, city, subway, 40.64, 74.07
P00362, city, subway, 40.64, 74.07
P00363, city, subway, 40.64, 74.07
P00365, city, subway, 40.64, 74.07
P00366, city, subway, 40.64, 74.07
P00367, city, subway, 40.64, 74.07
P00368, city, subway, 40.73, 74.00
P00369, city, subway, 40.73, 74.00
P00370, city, subway, 40.75, 73.94
P00371, city, subway, 40.75, 73.94
P00372, city, subway, 40.75, 73.93
P00373, city, subway, 40.75, 73.92
P00374, city, subway, 40.75, 73.92
P00375, city, subway, 40.75, 73.92
P00376, city, subway, 40.76, 73.92
P00377, city, subway, 40.76, 73.92
P00378, city, subway, 40.76, 73.92
P00379, city, subway, 40.77, 73.91
P00380, city, subway, 40.77, 73.91
P00381, city, subway, 40.78, 73.98
P00382, city, subway, 40.68, 73.96
P00383, city, subway, 40.68, 73.96
P00384, city, subway, 40.68, 73.97
P00385, city, subway, 40.68, 73.95
P00386, city, subway, 40.68, 73.95
P00387, city, subway, 40.68, 73.97
P00388, city, subway, 40.73, 73.95
P00389, city, subway, 40.73, 73.95
P00390, city, subway, 40.68, 73.97
P00391, city, subway, 40.67, 73.99
P00392, city, subway, 40.67, 73.99
P00393, city, subway, 40.67, 73.99
P00394, city, subway, 40.68, 73.97
P00395, city, subway, 40.68, 73.97
P00396, city, subway, 40.67, 73.99
P00397, city, subway, 40.70, 73.95
P00398, city, subway, 40.70, 73.95
P00399, city, subway, 40.67, 73.99
P00400, city, subway, 40.71, 73.95
P00401, city, subway, 40.71, 73.95
P00402, city, subway, 40.74, 73.94
P00403, city, subway, 40.74, 73.94
P00404, city, subway, 40.68, 73.97
P00405, city, subway, 40.74, 73.94
P00406, city, subway, 40.74, 73.94
P00408, city, subway, 40.69, 73.98
P00409, city, subway, 40.68, 73.97
P00410, city, subway, 40.68, 73.97
P00411, city, subway, 40.67, 73.98
P00412, city, subway, 40.67, 73.98
P00413, city, subway, 40.75, 73.92
P00414, city, subway, 40.75, 73.92
P00415, city, subway, 40.64, 74.01
P00416, city, subway, 40.64, 74.01
P00417, city, subway, 40.61, 74.03
P00419, city, subway, 40.70, 74.00
P00420, city, subway, 40.70, 74.00
P00421, city, subway, 40.77, 73.91
P00422, city, subway, 40.74, 73.94
P00423, city, subway, 40.74, 73.94
P00424, city, subway, 40.74, 73.94
P00425, city, subway, 40.74, 73.93
P00426, city, subway, 40.74, 73.93
P00427, city, subway, 40.74, 73.94
P00428, city, subway, 40.74, 73.89
P00429, city, subway, 40.74, 73.89
P00430, city, subway, 40.74, 73.88
P00431, city, subway, 40.72, 73.84
P00432, city, subway, 40.72, 73.84
P00433, city, subway, 40.74, 73.88
P00434, city, subway, 40.71, 73.83
P00435, city, subway, 40.71, 73.83
P00436, city, subway, 40.74, 73.88
P00437, city, subway, 40.70, 73.82
P00438, city, subway, 40.70, 73.82
P00439, city, subway, 40.74, 73.88
P00440, city, subway, 40.70, 73.80
P00441, city, subway, 40.70, 73.80
P00442, city, subway, 40.70, 73.80
P00443, city, subway, 40.71, 73.79
P00444, city, subway, 40.71, 73.79
P00445, city, subway, 40.70, 73.80
P00446, city, subway, 40.71, 73.78
P00447, city, subway, 40.71, 73.78
P00448, city, subway, 40.71, 73.78
P00449, city, subway, 40.71, 73.79
P00450, city, subway, 40.70, 73.80
P00451, city, subway, 40.70, 73.80
P00452, city, subway, 40.71, 74.00
P00453, city, subway, 40.71, 74.00
P00454, city, subway, 40.71, 74.00
P00455, city, subway, 40.71, 74.00
P00456, city, subway, 40.71, 74.00
P00457, city, subway, 40.69, 73.99
P00458, city, subway, 40.69, 73.99
P00459, city, subway, 40.69, 73.99
P00460, city, subway, 40.69, 73.98
